iter	Passed	Remaining
1056	1765	3244
1057	1766	3242
1058	1768	3240
1059	1769	3238
1060	1771	3236
1061	1772	3234
1062	1773	3231
1063	1774	3229
1064	1776	3227
1065	1777	3224
1066	1778	3222
1067	1780	3220
1068	1781	3218
1069	1782	3215
1070	1784	3213
1071	1785	3211
1072	1787	3209
1073	1788	3207
1074	1789	3205
1075	1791	3202
1076	1792	3200
1077	1794	3198
1078	1795	3196
1079	1796	3193
1080	1797	3191
1081	1799	3189
1082	1800	3187
1083	1801	3185
1084	1803	3183
1085	1805	3181
1086	1806	3179
1087	1808	3177
1088	1810	3176
1089	1811	3174
1090	1812	3171
1091	1814	3169
1092	1815	3167
1093	1816	3165
1094	1818	3163
1095	1819	3161
1096	1821	3159
1097	1822	3157
1098	1824	3155
1099	1826	3155
1100	1828	3153
1101	1829	3150
1102	1830	3148
1103	1832	3146
1104	1834	3145
1105	1835	3143
1106	1837	3142
1107	1838	3139
1108	1840	3137
1109	1841	3136
1110	1843	3134
1111	1844	3131
1112	1845	3129
1113	1847	3127
1114	1848	3125
1115	1850	3123
1116	1851	3121
1117	1852	3119
1118	1854	3116
1119	1855	3114
1120	1856	3112
1121	1858	3111
1122	1859	3108
1123	1861	3106
1124	1862	3104
1125	1863	3101
1126	1865	3101
1127	1867	3098
1128	1868	3097
1129	1870	3094
1130	1871	3092
1131	1872	3090
1132	1874	3089
1133	1876	3087
1134	1877	3085
1135	1878	3082
1136	1880	3080
1137	1881	3078
1138	1882	3076
1139	1884	3074
1140	1886	3073
1141	1887	3071
1142	1889	3069
1143	1891	3068
1144	1892	3066
1145	1894	3064
1146	1895	3062
1147	1897	3060
1148	1898	3058
1149	1900	3056
1150	1901	3054
1151	1903	3053
1152	1904	3051
1153	1906	3049
1154	1908	3048
1155	1911	3048
1156	1917	3054
1157	1921	3055
1158	1923	3055
1159	1926	3055
1160	1928	3055
1161	1931	3054
1162	1932	3052
1163	1934	3050
1164	1935	3048
1165	1936	3045
1166	1937	3043
1167	1939	3041
1168	1940	3040
1169	1942	3037
1170	1943	3035
1171	1944	3032
1172	1945	3030
1173	1947	3028
1174	1948	3026
1175	1949	3024
1176	1951	3022
1177	1952	3019
1178	1953	3017
1179	1954	3014
1180	1956	3013
1181	1957	3011
1182	1958	3008
1183	1960	3006
1184	1961	3003
1185	1962	3001
1186	1963	2999
1187	1964	2997
1188	1966	2994
1189	1967	2992
1190	1968	2990
1191	1970	2988
1192	1971	2985
1193	1972	2983
1194	1974	2981
1195	1975	2979
1196	1976	2977
1197	1977	2974
1198	1978	2972
1199	1980	2970
1200	1981	2967
1201	1982	2965
1202	1983	2962
1203	1984	2960
1204	1986	2958
1205	1987	2956
1206	1990	2956
1207	1991	2954
1208	1992	2952
1209	1994	2949
1210	1995	2947
1211	1996	2945
1212	1998	2943
1213	1999	2941
1214	2001	2940
1215	2002	2938
1216	2005	2937
1217	2006	2935
1218	2007	2933
1219	2008	2930
1220	2010	2929
1221	2011	2926
1222	2013	2925
1223	2014	2922
1224	2015	2920
1225	2017	2918
1226	2018	2916
1227	2020	2916
1228	2022	2914
1229	2023	2912
1230	2025	2910
1231	2026	2908
1232	2027	2906
1233	2029	2904
1234	2030	2901
1235	2031	2899
1236	2032	2897
1237	2034	2895
1238	2036	2894
1239	2038	2893
1240	2039	2890
1241	2040	2888
1242	2041	2886
1243	2042	2883
1244	2044	2881
1245	2045	2879
1246	2047	2878
1247	2048	2875
1248	2049	2873
1249	2051	2871
1250	2052	2869
1251	2053	2867
1252	2055	2865
1253	2056	2863
1254	2058	2861
1255	2059	2859
1256	2060	2857
1257	2061	2854
1258	2063	2852
1259	2064	2850
1260	2065	2848
1261	2066	2845
1262	2067	2843
1263	2069	2841
1264	2071	2840
1265	2072	2838
1266	2073	2836
1267	2074	2833
1268	2075	2831
1269	2077	2829
1270	2078	2827
